Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call,Lean Reason
DET,COL,Casey Mize,L,2.6,1.04,Kyle Freeland,L,3.79,1.0,6.14,0.805,3.29,0.633,Lean ML (Moderate),"ERA +1.19, WHIP -0.04, OPS +0.172, RPG +2.85"
LAD,AZ,Yoshinobu Yamamoto,R,1.69,1.06,Brandon Pfaadt,R,3.5,1.06,7.57,0.925,4.29,0.712,Lean ML (Moderate),"ERA +1.81, WHIP +0.00, OPS +0.213, RPG +3.28"
