Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call,Lean Reason
NYM,CHC,Griffin Canning,L,4.2,1.53,Matthew Boyd,L,1.59,1.18,7.57,0.909,5.29,0.745,Lean ML (Normal),"ERA -2.61, WHIP -0.35, OPS +0.164, RPG +2.28"
CHC,,Matthew Boyd,,1.59,1.18,,,,,,,,,Stay Away (Normal),"ERA +nan, WHIP +nan, OPS +nan, RPG +nan"
DET,TEX,Reese Olson,R,6.0,1.67,Nathan Eovaldi,R,2.29,0.66,6.29,0.821,3.0,0.554,Lean ML (Normal),"ERA -3.71, WHIP -1.01, OPS +0.267, RPG +3.29"
LAD,AZ,Tony Gonsolin,R,Fewer than 3 Starts,Fewer than 3 Starts,Zac Gallen,R,5.28,1.43,8.29,0.921,4.57,0.714,Stay Away (Normal),
SEA,TOR,Bryce Miller,R,4.5,1.44,José Ureña,R,Fewer than 3 Starts,Fewer than 3 Starts,6.14,0.777,3.43,0.661,Stay Away (Normal),
