Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call,Lean Reason
CHC,MIA,Cade Horton,R,Fewer than 3 Starts,Fewer than 3 Starts,Max Meyer,R,2.0,1.11,3.14,0.605,2.43,0.641,Stay Away (Normal),"OPS -0.036, RPG +0.71, Offense Advantage Only"
DET,STL,Brant Hurter,R,Fewer than 3 Starts,Fewer than 3 Starts,Andre Pallante,R,2.2,1.04,7.0,0.716,6.14,0.785,Stay Away (Normal),"OPS -0.069, RPG +0.86, Offense Advantage Only"
SEA,CWS,Logan Evans,R,3.6,1.6,Shane Smith,R,2.04,0.91,3.14,0.579,3.0,0.61,Stay Away (Normal),"ERA -1.56, WHIP -0.69, OPS -0.031, RPG +0.14, Mixed Advantage"
NYM,BOS,Tylor Megill,L,0.63,1.26,Garrett Crochet,L,1.45,1.12,4.43,0.801,5.14,0.761,Stay Away (Normal),"ERA +0.82, WHIP -0.14, OPS +0.040, RPG -0.71, Mixed Advantage"
NYY,TEX,Ryan Yarbrough,R,Fewer than 3 Starts,Fewer than 3 Starts,Jacob deGrom,R,4.3,1.3,6.86,0.865,3.86,0.683,Stay Away (Normal),"OPS +0.182, RPG +3.00, Offense Advantage Only"
LAD,AZ,Dustin May,R,1.06,0.76,Corbin Burnes,R,5.28,1.57,6.43,0.866,4.14,0.808,Lean RL (Strong),"ERA +4.22, WHIP +0.81, OPS +0.058, RPG +2.29, Mixed Advantage"
