Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call
CHC,SF,Ben Brown,L,4.8,1.6,Robbie Ray,L,2.93,1.24,5.14,0.762,3.29,0.584,Fade ML (Strong)
SEA,ATH,Bryan Woo,R,2.84,0.95,Gunnar Hoglund,R,Fewer than 3 Starts,Fewer than 3 Starts,7.29,0.868,3.57,0.7,Lean ML (Moderate)
NYM,AZ,Kodai Senga,R,1.06,1.0,Merrill Kelly,R,7.2,1.6,6.71,0.814,4.57,0.704,Lean ML (Moderate)
LAD,MIA,Landon Knack,R,7.27,1.73,Valente Bellozo,R,4.97,1.66,8.14,0.977,4.43,0.635,Fade ML (Strong)
NYY,SD,Max Fried,R,1.56,1.21,Dylan Cease,R,7.98,1.57,6.43,0.888,3.43,0.6,Lean ML (Moderate)
DET,COL,Jackson Jobe,R,3.0,1.13,Chase Dollander,R,7.36,1.64,5.57,0.792,3.29,0.633,Lean ML (Normal)
