Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call,Lean Reason
CHC,CWS,Cade Horton,R,Fewer than 3 Starts,Fewer than 3 Starts,Shane Smith,R,2.04,0.91,4.71,0.665,2.71,0.578,Stay Away (Normal),"OPS +0.087, RPG +2.00, Offense Advantage Only"
NYY,NYM,Carlos Rodón,R,5.19,1.15,Tylor Megill,R,0.63,1.26,5.57,0.748,5.43,0.844,Stay Away (Normal),"ERA -4.56, WHIP +0.11, OPS -0.096, RPG +0.14, Mixed Advantage"
DET,TOR,Jack Flaherty,R,1.62,0.96,Bowden Francis,R,3.71,1.06,7.86,0.801,4.71,0.751,Lean ML (Strong),"ERA +2.09, WHIP +0.10, OPS +0.050, RPG +3.15, Mixed Advantage"
SEA,SD,Logan Evans,R,3.6,1.6,Stephen Kolek,R,Fewer than 3 Starts,Fewer than 3 Starts,5.14,0.715,5.43,0.69,Stay Away (Normal),"OPS +0.025, RPG -0.29, Offense Advantage Only"
LAD,LAA,Dustin May,R,1.06,0.76,Jack Kochanowicz,R,5.74,1.34,5.57,0.767,3.71,0.637,Lean RL (Strong),"ERA +4.68, WHIP +0.58, OPS +0.130, RPG +1.86, Mixed Advantage"
