Team,Opponent,Pitcher,Pitcher Handedness,ERA (Last 3 Starts),WHIP (Last 3 Starts),Opponent Pitcher,Opponent Handedness,Opponent ERA (Last 3 Starts),Opponent WHIP (Last 3 Starts),Team RPG (L7),Team OPS (L7),Opp RPG (L7),Opp OPS (L7),Lean Call,Lean Reason
LAD,CLE,Dustin May,R,1.06,0.76,Tanner Bibee,R,4.4,1.47,7.0,0.89,3.29,0.706,Lean RL (Strong),"ERA +3.34, WHIP +0.71, OPS +0.184, RPG +3.71, Mixed Advantage"
DET,SF,Jack Flaherty,R,1.62,0.96,Logan Webb,R,1.89,0.95,4.86,0.729,4.86,0.761,Stay Away (Normal),"ERA +0.27, WHIP -0.01, OPS -0.032, RPG +0.00, Mixed Advantage"
NYM,CWS,Tylor Megill,R,0.63,1.26,Jonathan Cannon,R,5.79,1.64,1.43,0.51,2.71,0.621,Lean ML (Moderate),"ERA +5.16, WHIP +0.38, OPS -0.111, RPG -1.28, Mixed Advantage"
CHC,COL,Cade Horton,R,Fewer than 3 Starts,Fewer than 3 Starts,Germán Márquez,R,4.6,1.47,7.57,0.831,3.57,0.614,Stay Away (Normal),"OPS +0.217, RPG +4.00, Offense Advantage Only"
NYY,LAA,Carlos Rodón,L,5.19,1.15,Tyler Anderson,L,2.87,1.15,4.14,0.711,5.57,0.791,Stay Away (Normal),"ERA -2.32, WHIP +0.00, OPS -0.080, RPG -1.43, Mixed Advantage"
SEA,WSH,Logan Evans,L,3.6,1.6,Mitchell Parker,L,1.96,1.2,3.43,0.607,5.43,0.771,Fade ML (Strong),"ERA -1.64, WHIP -0.40, OPS -0.164, RPG -2.00, Mixed Advantage"
